24.900,warmup,warmup,0,5,1031.8600,0.75594
29.900,warmup,warmup,0,6,1034.2400,0.75769
34.900,warmup,warmup,0,7,1032.4800,0.75640
39.900,warmup,warmup,0,8,1032.6200,0.75650
44.900,warmup,warmup,0,9,1033.8000,0.75736
49.900,warmup,warmup,0,10,1033.2600,0.75697
54.900,warmup,warmup,0,11,1032.5601,0.75645
59.900,warmup,warmup,0,12,1033.8600,0.75741
64.900,warmup,warmup,0,13,1032.6801,0.75654
69.900,warmup,warmup,0,14,1033.5601,0.75719
74.900,warmup,warmup,0,15,1032.8800,0.75669
79.900,warmup,warmup,0,16,1033.7200,0.75730
84.900,warmup,warmup,0,17,1033.0000,0.75678
89.900,warmup,warmup,0,18,1032.9800,0.75676
94.900,warmup,warmup,0,19,1032.6000,0.75648
99.900,warmup,warmup,0,20,1032.1400,0.75615
104.900,warmup,warmup,0,21,1031.3600,0.75558
109.900,warmup,warmup,0,22,1031.8199,0.75591
114.900,warmup,warmup,0,23,1031.9800,0.75603
119.900,warmup,warmup,0,24,1031.8600,0.75594
124.900,warmup,warmup,0,25,1032.2600,0.75623
# warmup complete at t=124.900s; ready for blank cycles
# awaiting cuvette swap for blank 1 (press B when seated) at t=124.900s
# blank 1 begin at t=272.831s
# blank 1 settle begin at t=272.831s
277.731,blank,settle,1,1,1032.6200,0.75650
282.731,blank,settle,1,2,1033.7000,0.75729
287.731,blank,settle,1,3,1033.8800,0.75742
292.731,blank,settle,1,4,1034.2200,0.75767
297.731,blank,settle,1,5,1033.9600,0.75748
# blank 1 avg begin at t=297.731s
302.631,blank,avg,1,1,1033.7800,0.75735
307.631,blank,avg,1,2,1034.6600,0.75799
312.631,blank,avg,1,3,1034.6801,0.75801
317.631,blank,avg,1,4,1033.8800,0.75742
322.631,blank,avg,1,5,1033.8800,0.75742
327.631,blank,avg,1,6,1034.1400,0.75761
332.631,blank,avg,1,7,1032.5000,0.75641
337.631,blank,avg,1,8,1031.3000,0.75553
342.631,blank,avg,1,9,1032.0800,0.75610
347.631,blank,avg,1,10,1031.7800,0.75588
# blank 1 final = 1033.2681 counts, 0.75697 V
# LOD stats: n=1, mean=1033.2681, std=0.0000, CoV=0.0000%, LOD_A3sigma=0.000000
# awaiting cuvette swap for blank 2 (press B when seated) at t=347.632s
# blank 2 begin at t=400.566s
# blank 2 settle begin at t=400.566s
405.466,blank,settle,2,1,1030.4000,0.75487
410.466,blank,settle,2,2,1031.2000,0.75546
415.466,blank,settle,2,3,1028.8000,0.75370
420.466,blank,settle,2,4,1030.4399,0.75490
425.466,blank,settle,2,5,1030.2600,0.75477
# blank 2 avg begin at t=425.466s
430.366,blank,avg,2,1,1030.1801,0.75471
435.366,blank,avg,2,2,1030.1400,0.75468
440.366,blank,avg,2,3,1030.0601,0.75462
445.366,blank,avg,2,4,1029.8600,0.75448
450.366,blank,avg,2,5,1029.8199,0.75445
455.366,blank,avg,2,6,1030.5601,0.75499
460.366,blank,avg,2,7,1029.6200,0.75430
465.366,blank,avg,2,8,1031.0400,0.75534
470.366,blank,avg,2,9,1030.0400,0.75461
475.366,blank,avg,2,10,1030.6200,0.75503
